current,voltage,temperature,soc
0.021931,4.1677,20.325847,100.00021434407644
-3.0313,4.0642,20.302807,99.97058773339276
-2.9854,4.062,20.320967,99.9414097293895
-3.0062,4.0566,20.317271,99.912028435213
-2.9834,4.0535,20.302695,99.88286997834176
-2.9858,4.0515,20.31878,99.85368806491212
-2.9896,4.0483,20.325045,99.82446901193155
-2.9847,4.045,20.306804,99.79529784942451
-2.9785,4.0436,20.318594,99.76618728302684
-2.9982,4.0399,20.313678,99.7368841773785
-2.9725,4.0397,20.328512,99.70783225237692
0.013472,4.1306,20.321625,99.70796392185838
0.002255,4.1371,20.329596,99.70798596124976
0.002762,4.1402,20.325056,99.70801295583912
0.004681,4.1411,20.325487,99.70805870590166
0.004475,4.1422,20.31818,99.7081024426096
0.001871,4.1432,20.299662,99.70812072895164
0.004292,4.1446,20.323034,99.70816267709702
0.008906,4.1452,20.31537,99.70824972047602
0.004531,4.1456,20.317526,99.70829400450366
-0.001796,4.146,20.305495,99.70827645117907
0.000838,4.1465,20.31314,99.7082846414274
0.000372,4.1473,20.315432,99.70828827719396
0.002318,4.1485,20.320138,99.70831093232
0.00612,4.1485,20.307435,99.70837074654406
0.006157,4.149,20.325669,99.70843092239006
0.006324,4.1492,20.304878,99.7084927304216
-0.003481,4.1486,20.299857,99.70845870863828
-0.003189,4.1507,20.322884,99.70842754073622
-0.002507,4.1494,20.336024,99.7084030384062
-0.003807,4.1497,20.330258,99.70836583044036
-0.003925,4.1509,20.318547,99.70832746919372
0.003548,4.1505,20.318263,99.70836214580596
-0.001839,4.1519,20.307705,99.70834417221803
-0.001887,4.1512,20.329457,99.70832572949897
0.002194,4.1501,20.317653,99.70834717270282
0.004236,4.1521,20.304901,99.7083885735285
0.003938,4.1521,20.327947,99.70842706183149
0.006103,4.1523,20.313852,99.70848670990492
0.002076,4.1527,20.322236,99.708506999828
-0.001877,4.1527,20.303367,99.70848865484456
-0.000928,4.1517,20.303798,99.7084795849753
-0.001026,4.1531,20.313217,99.70846955729655
0.005048,4.1538,20.289234,99.70851889425784
0.003248,4.153,20.316648,99.70855063880028
0.002007,4.1541,20.290737,99.70857025434728
0.00169,4.1522,20.291698,99.70858677167386
0.000242,4.1527,20.294698,99.70858913687684
0.000726,4.1534,20.3152,99.70859623248576
0.005066,4.1532,20.31772,99.70864574537124
0.002564,4.1546,20.285845,99.70867080479452
0.006916,4.1542,20.301357,99.70873839877711
0.00121,4.1527,20.327828,99.708750224792
0.008615,4.1534,20.329775,99.7088344240633
0.003505,4.1536,20.335196,99.7088686804122
0.002491,4.1538,20.310314,99.70889302636516
-0.002111,4.1539,20.318532,99.7088723943673
-0.003176,4.1542,20.326528,99.7088413535216
-0.001949,4.1543,20.365602,99.70882230484143
0.00322,4.155,20.36713,99.70885377572402
0.003032,4.1543,20.361167,99.7088834091762
0.004292,4.1535,20.373234,99.70892535732158
0.00465,4.1536,20.367148,99.70897080440358
0.004975,4.1544,20.381353,99.70901942789456
-0.003168,4.1541,20.365306,99.70898846523738
0.001832,4.1546,20.347559,99.70900637041034
-0.000418,4.1554,20.340154,99.70900228505974
0.006449,4.1541,20.33222,99.709065314787
0.0028,4.154,20.359282,99.70909268077187
0.006279,4.1547,20.340191,99.70915404899291
0.007347,4.1541,20.33875,99.7092258553825
-0.001102,4.1543,20.358727,99.70921508491274
0.001093,4.1541,20.359774,99.7092257674204
0.003104,4.1544,20.349074,99.70925610456932
0.002824,4.1547,20.356023,99.7092837051198
0.000766,4.1539,20.36291,99.70929119167135
0.005398,4.1551,20.348914,99.70934394938077
0.003409,4.1547,20.369858,99.70937726746732
0.003944,4.1543,20.392706,99.70941581441171
0.001748,4.1549,20.357932,99.70943289860512
-0.000944,4.1552,20.378834,99.7094236723588
-0.001722,4.1561,20.373425,99.7094068422781
-0.000736,4.1551,20.373006,99.70939964893353
-5.19e-05,4.1562,20.3439,99.70939914168544
-0.000755,4.1565,20.36108,99.70939176264308
0.001849,4.1553,20.377035,99.70940983396666
0.002612,4.1547,20.384458,99.7094353625211
-0.001582,4.1551,20.362245,99.70941990073966
-0.00087,4.1551,20.38556,99.70941139773724
-0.002627,4.1557,20.349241,99.70938572257928
0.0,4.1555,20.382173,99.70938572257928
0.009537,4.1556,20.371565,99.70947893307844
0.002867,4.1552,20.350356,99.70950695389224
0.002215,4.1556,20.376573,99.70952860234097
-0.000627,4.1549,20.376321,99.70952247431508
0.001991,4.1562,20.392331,99.709541933485
0.000834,4.155,20.375458,99.70955008463908
0.002805,4.156,20.376462,99.70957749949176
0.00653,4.1557,20.384557,99.7096413208779
0.007658,4.1555,20.384058,99.7097161668465
0.006627,4.1561,20.38112,99.70978093626852
-0.000823,4.1557,20.372662,99.70977289262368
-0.002548,4.1541,20.346007,99.70974798957748
6.11e-05,4.1556,20.381212,99.70974858674236
-0.001022,4.1566,20.3581,99.70973859815788
-0.001135,4.1558,20.382118,99.70972750516044
-0.003226,4.1556,20.382469,99.70969597563644
-0.000989,4.1556,20.386867,99.70968630957964
0.003222,4.1554,20.391666,99.7097178000094
0.004614,4.1565,20.399637,99.709762895243
-0.000515,4.1547,20.386861,99.7097578618565
-0.001721,4.1553,20.368412,99.70974104154938
4.63e-05,4.1565,20.382174,99.7097414940655
0.006683,4.1565,20.388968,99.70980681080722
0.002348,4.1578,20.379562,99.70982975914023
0.006666,4.1563,20.39559,99.70989490973136
0.011912,4.1563,20.404036,99.7100113324498
0.003139,4.1558,20.342478,99.71004201167356
0.007729,4.1564,20.358661,99.71011755156532
0.005387,4.1561,20.375688,99.7101702017655
0.006754,4.1558,20.37562,99.71023621243042
0.007335,4.1562,20.379341,99.7103079015372
0.002532,4.155,20.360873,99.71033264820636
0.00276,4.1557,20.380665,99.71035962324858
0.000733,4.1558,20.39346,99.71036678727248
0.000135,4.1566,20.385877,99.71036810670388
0.00055,4.1566,20.384534,99.7103734821652
0.002293,4.1561,20.393374,99.71039589295208
0.003204,4.1562,20.343625,99.71042720745764
0.004895,4.1565,20.371069,99.7104750490633
0.01014,4.1562,20.382927,99.71057415302276
0.007516,4.157,20.391822,99.710647611145
0.007571,4.1557,20.369061,99.71072160681337
-0.001112,4.1561,20.400915,99.71071073860792
-0.002676,4.1565,20.376232,99.71068458454523
0.000147,4.1562,20.393936,99.71068602125946
0.003366,4.1564,20.404673,99.7107189190827
0.001581,4.1552,20.372696,99.71073437109057
-0.001911,4.1565,20.384234,99.71071569380592
0.004725,4.1561,20.39977,99.71076187390535
0.004272,4.1558,20.376787,99.7108036265794
0.005899,4.1552,20.367498,99.71086128084538
0.006091,4.1564,20.380434,99.71092081163602
0.005797,4.1553,20.379516,99.71097746899824
0.002632,4.1559,20.351962,99.711003193024
-0.003808,4.157,20.390457,99.7109659752846
0.001071,4.1564,20.400146,99.7109764427738
-0.0006,4.1558,20.365731,99.7109705786342
-0.00322,4.157,20.378119,99.7109391077516
-0.000574,4.1562,20.386213,99.71093349772472
-0.000466,4.1567,20.394431,99.71092894324296
-0.000311,4.1566,20.377953,99.71092590366392
-0.001887,4.1562,20.416687,99.71090746094482
-0.00064,4.1561,20.389171,99.71090120586256
-0.001563,4.1566,20.390594,99.71088592977888
-0.001022,4.156,20.386584,99.7108759411944
-0.000649,4.1564,20.385758,99.71086959815004
0.005079,4.1551,20.388487,99.71091923809188
-0.001688,4.1566,20.374936,99.71090274031243
-0.001542,4.1558,20.38101,99.71088766947364
0.002007,4.1559,20.386061,99.71090728502064
-0.001283,4.1564,20.393576,99.71089474553544
0.001299,4.1563,20.384947,99.7109074413977
-0.000733,4.1571,20.365832,99.7109002773738
-0.003832,4.1569,20.381602,99.7108628250688
0.000969,4.1567,20.420453,99.71087229565428
0.006828,4.1556,20.378972,99.71093902956308
0.004898,4.1561,20.372012,99.71098690048946
0.002314,4.1568,20.429379,99.71100951652124
0.004367,4.1557,20.390973,99.71105219768404
0.004156,4.1558,20.379269,99.71109281662444
-0.001168,4.1574,20.403761,99.71108140109934
0.003505,4.1561,20.384838,99.71111565744825
0.003043,4.1558,20.392212,99.71114539840964
-0.002368,4.1561,20.388017,99.7111222546053
-0.000218,4.1561,20.405696,99.71112012396792
-0.001846,4.1555,20.424847,99.71110208196504
-0.000712,4.1557,20.376646,99.71109512318604
-0.001012,4.1561,20.411197,99.7110852323372
-0.002181,4.1552,20.393833,99.71106391618972
-0.000226,4.1564,20.39443,99.7110617073638
-0.000558,4.1571,20.399008,99.71105625371396
0.001037,4.1551,20.402925,99.71106638890193
-0.000532,4.1573,20.382961,99.7110611893648
-0.002624,4.1565,20.403111,99.71103554352756
0.005469,4.157,20.414476,99.71108899516013
0.004179,4.1556,20.4043,99.71112983889252
0.001786,4.1548,20.402175,99.71114729448144
-0.000364,4.1557,20.386948,99.71114373690342
-0.001445,4.1562,20.410676,99.71112961410051
-0.000409,4.1565,20.398622,99.711125616712
0.002266,4.1558,20.39423,99.71114776361262
0.44129,4.1705,20.391292,99.71546074056263
0.29376,4.1645,20.388077,99.71833182331738
0.32573,4.1687,20.406458,99.72151536697784
0.2894,4.1661,20.428979,99.72434383698474
0.29294,4.1676,20.418951,99.72720690541534
0.27918,4.168,20.365957,99.72993548957749
0.30834,4.1678,20.395291,99.73294907092482
0.28566,4.1688,20.397652,99.73574098779476
0.30824,4.1697,20.382775,99.73875359178552
0.32828,4.1692,20.368601,99.74196205803936
0.27024,4.1675,20.408525,99.74460326652124
0.29853,4.1695,20.399698,99.7475209691859
0.2848,4.1686,20.399206,99.75030448078908
0.26057,4.1704,20.377264,99.75285117888754
0.27773,4.1699,20.395973,99.75556559137894
0.26117,4.1695,20.413806,99.758118153617
0.30859,4.1714,20.378886,99.76113417835585
0.2962,4.1697,20.392149,99.76402910861168
0.27068,4.169,20.414103,99.76667461746264
0.32555,4.1702,20.420399,99.7698564018812
0.28296,4.1695,20.4054,99.77262193012292
0.31333,4.1713,20.402838,99.77568428156472
0.31592,4.1709,20.428482,99.7787719465425
0.32555,4.1723,20.405051,99.78195373096108
0.32773,4.1727,20.383941,99.78515682175362
0.30099,4.1709,20.395437,99.78809856739068
0.304,4.1728,20.397316,99.7910697314615
0.33308,4.1722,20.376853,99.79432511083223
0.33157,4.1725,20.40774,99.79756573211829
0.26839,4.1713,20.396264,99.80018885950304
0.31171,4.1738,20.407261,99.80323537776788
0.27409,4.1727,20.405795,99.80591421447896
0.32249,4.1735,20.402703,99.80906609178552
0.27416,4.1718,20.390901,99.8117456126462
0.30909,4.1732,20.379303,99.81476652416808
0.30376,4.1736,20.408675,99.81773534258303
0.29649,4.1729,20.383364,99.820633107173
0.28698,4.1734,20.383549,99.82343792515012
0.32812,4.1741,20.388977,99.8266448276334
0.31961,4.1732,20.391546,99.8297685570698
0.30915,4.173,20.414498,99.83279005500565
0.32432,4.1738,20.399735,99.83595981793802
0.35054,4.1753,20.404256,99.8393858437715
0.30106,4.1742,20.408212,99.8423282735582
0.29544,4.1749,20.408644,99.84521577590384
0.32075,4.1751,20.398985,99.84835064720554
0.29478,4.1737,20.392924,99.85123169899762
0.30656,4.1743,20.405418,99.85422788339744
0.30436,4.1742,20.386427,99.85720256595202
0.27156,4.174,20.388781,99.85985667554108
0.29117,4.1747,20.398625,99.8627024447598
0.30866,4.1762,20.394184,99.86571915364829
0.28904,4.1758,20.3722,99.8685441051714
0.3189,4.1746,20.43014,99.87166089537592
0.2824,4.1762,20.409014,99.87442095042066
0.32838,4.1758,20.375109,99.87763039403109
0.31703,4.1753,20.367533,99.88072890766716
0.30479,4.1753,20.399745,99.88370779285512
0.3137,4.176,20.390764,99.88677376051636
0.31009,4.1763,20.381179,99.88980444560424
0.3121,4.1758,20.377564,99.89285477555984
0.26619,4.1755,20.403739,99.89545640109932
0.28023,4.1757,20.431052,99.89819524750578
0.3361,4.178,20.375964,99.90148014304592
0.25931,4.1751,20.411348,99.90401452645118
0.33854,4.1782,20.382464,99.9073232694924
0.34173,4.1776,20.39481,99.91066319020923
0.33012,4.1772,20.403379,99.91388963982456
0.29085,4.177,20.419783,99.91673228150216
0.29983,4.1788,20.398422,99.91966268980264
0.31325,4.1778,20.408765,99.92272425935916
0.28829,4.1774,20.422109,99.92554188070775
0.30334,4.1793,20.419017,99.928506594225
0.30128,4.1773,20.403045,99.93145117419624
0.2996,4.1772,20.402454,99.93437933457652
0.31784,4.1774,20.403835,99.93748576480108
0.29512,4.1772,20.385189,99.94037013960562
0.31508,4.1781,20.421626,99.94344959478796
0.34045,4.1797,20.395318,99.94677700534028
0.34589,4.1789,20.415376,99.95015758409176
0.35315,4.18,20.385329,99.95360911893258
0.32166,4.1798,20.400988,99.95675288417934
0.33632,4.18,20.394151,99.960039929904
0.34258,4.1796,20.39823,99.96338815815191
0.35699,4.1796,20.399333,99.96687722348626
0.30052,4.1788,20.403191,99.96981437554732
0.3554,4.1816,20.39336,99.97328790091169
0.28547,4.1792,20.407171,99.97607796080408
0.31358,4.1789,20.378688,99.9791427556374
0.3491,4.1824,20.392352,99.9825547075358
